CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
1000,Existing Customer,31,F,0,Graduate,Married,80K-120K,Blue,38,33616.22,1403,30298.38,1.261,6050,16,0.798
1001,Existing Customer,32,F,2,High School,Unknown,Unknown,Blue,55,33869.23,1017,32673.04,1.498,5831,118,0.51
1002,Existing Customer,43,M,3,Uneducated,Married,,Blue,44,22464.15,1083,8640.41,0.798,10190,52,0.58
1003,Existing Customer,53,M,4,Graduate,Unknown,80K-120K,Blue,42,22377.41,1210,27230.99,0.727,10411,14,0.252
1004,Existing Customer,44,F,1,Unknown,Married,Less than 40K,Blue,26,34517.49,1307,10747.16,0.625,3962,114,0.278
1005,Existing Customer,54,F,2,High School,Unknown,Less than 40K,Blue,19,31280.34,522,30388.21,1.464,1916,115,0.449
1006,Existing Customer,46,F,3,Unknown,Unknown,60K-80K,Blue,44,27247.31,1987,7297.46,1.281,7664,25,0.512
1007,Attrited Customer,34,F,4,College,Unknown,80K-120K,Silver,13,12348.49,1981,23310.72,0.666,7369,70,0.492
1008,Attrited Customer,50,M,1,Graduate,Married,Less than 40K,Blue,59,14062.79,784,4694.76,1.053,4835,10,0.234
1009,Existing Customer,57,F,0,High School,Unknown,,Blue,57,8641.8,2055,33164.59,0.914,1177,49,0.131
1010,Existing Customer,52,M,4,High School,Unknown,Unknown,Blue,55,18075.89,2115,24420.27,0.651,5559,47,0.332
1011,Existing Customer,34,M,1,Unknown,Single,Less than 40K,Silver,38,34682.16,1851,28938.1,0.662,1186,16,0.706
1012,Existing Customer,53,F,2,Uneducated,Unknown,Less than 40K,Blue,27,32100.98,2420,20133.42,1.463,1244,103,0.537
1013,Attrited Customer,42,M,4,Graduate,Single,Unknown,Blue,16,5905.53,511,17257.64,0.805,925,68,0.164
1014,Existing Customer,25,F,3,,Married,Unknown,Blue,22,2831.28,2468,21900.24,1.441,1360,35,0.21
1015,Existing Customer,47,M,0,High School,Unknown,Less than 40K,Blue,33,31655.04,2476,18919.73,0.576,3635,86,0.814
1016,Existing Customer,41,F,4,College,Married,Unknown,Blue,51,19726.61,1782,17020.3,0.961,5677,74,0.357
1017,Attrited Customer,61,F,4,Graduate,Single,Unknown,Blue,54,8606.27,1962,26302.41,0.63,9707,72,0.768
1018,Existing Customer,55,M,0,Graduate,Single,60K-80K,Blue,55,24230.56,2116,7702.43,0.505,8280,62,0.88
1019,Attrited Customer,49,F,2,High School,Married,Less than 40K,Blue,42,23259.36,91,7477.51,1.054,7195,60,0.322
1020,Attrited Customer,28,F,3,Graduate,Unknown,Unknown,Blue,34,6028.83,781,15818.96,0.614,5301,59,0.012
1021,Existing Customer,33,M,1,Graduate,Married,,Blue,12,10566.81,328,12263.93,1.222,10151,38,0.655
